System,Code,Description
snomedct,5.83481E+14,Other ethnic NEC (NMO) (ethnic group)
snomedct,186005001,Other ethnic non-mixed (NMO) (ethnic group)
snomedct,186021006,"Other ethnic, Asian/White origin (ethnic group)"
snomedct,186020007,"Other ethnic, Black/White origin (ethnic group)"
snomedct,186019001,"Other ethnic, mixed origin (ethnic group)"
snomedct,186022004,"Other ethnic, mixed white origin (ethnic group)"
snomedct,186023009,"Other ethnic, other mixed origin (ethnic group)"
snomedct,186017004,Other European (NMO) (ethnic group)
snomedct,186037000,Other European in New Zealand (ethnic group)
snomedct,9.2451E+13,Other Mixed background - ethnic category 2001 census (finding)
snomedct,9.2621E+13,Other Mixed or Mixed unspecified - ethnic category 2001 census (finding)
snomedct,9.4031E+13,Other mixed White - ethnic category 2001 census (finding)
snomedct,186047002,Other New Zealand ethnic group (ethnic group)
snomedct,5.92491E+14,Other New Zealand ethnic group (ethnic group)
snomedct,6.61731E+14,Other Pacific ethnic group (ethnic group)
snomedct,9.4011E+13,Other republics which made up the former Yugoslavia - ethnic category 2001 census (finding)
snomedct,9.2411E+13,Other White background - ethnic category 2001 census (finding)
snomedct,401214002,Other white British ethnic group (ethnic group)
snomedct,315238004,Other white ethnic group (ethnic group)
snomedct,6.68681E+14,Other white ethnic group (ethnic group)
snomedct,9.4041E+13,Other White European or European unspecified or Mixed European - ethnic category 2001 census (finding)
snomedct,9.4051E+13,Other White or White unspecified - ethnic category 2001 census (finding)
snomedct,27301002,Paez (ethnic group)
snomedct,186002003,Pakistani (ethnic group)
snomedct,81035008,Pakistani (Urduspeakers) (ethnic group)
snomedct,9.2461E+13,Pakistani or British Pakistani - ethnic category 2001 census (finding)
snomedct,4073004,Palauans (ethnic group)
snomedct,17789004,Papuans (ethnic group)
snomedct,81653003,Pehuenches (ethnic group)
snomedct,28562006,Poles (ethnic group)
snomedct,8.8941E+13,Polish - ethnic category 2001 census (finding)
snomedct,1.05082E+15,Polish Roma
snomedct,718964009,Polish Roma (ethnic group)
snomedct,1.0363E+15,Polish Roma (ethnic group)
snomedct,62693009,Polynesian race (finding)
snomedct,23517005,Polynesians (ethnic group)
snomedct,7.18031E+14,Portuguese 
snomedct,80208004,Portuguese (ethnic group)
snomedct,7.18021E+14,Portuguese (ethnic group)
snomedct,3353005,Pueblo (ethnic group)
snomedct,9.2641E+13,Punjabi - ethnic category 2001 census (finding)
snomedct,704385002,Punjabi (ethnic group)
snomedct,71176007,Pygmies (ethnic group)
snomedct,79434006,Quechua (ethnic group)
snomedct,103579009,Race (observable entity)
snomedct,160528005,Race: Afro-Caribbean (finding)
snomedct,160532004,Race: Afro-caucasian (finding)
snomedct,160524007,Race: Arab (finding)
snomedct,160529002,Race: Bangladeshi (finding)
snomedct,160523001,Race: Caucasian (finding)
snomedct,160525008,Race: Chinese (finding)
snomedct,15643001,Race: Japanese (finding)
snomedct,160526009,Race: Korean (finding)
snomedct,160530007,Race: Mixed (finding)
snomedct,160527000,Race: Oriental (finding)
snomedct,160533009,Race: Pakistani (finding)
snomedct,160531006,Race: West indian (ethnic group)
snomedct,1.03635E+15,Roma 
snomedct,718958002,Roma (ethnic group)
snomedct,1.03634E+15,Roma (ethnic group)
snomedct,5.18711E+14,Romanian 
snomedct,445343003,Romanian (ethnic group)
snomedct,5.18701E+14,Romanian (ethnic group)
snomedct,1.05083E+15,Romanian Roma
snomedct,718960000,Romanian Roma (ethnic group)
snomedct,1.03632E+15,Romanian Roma (ethnic group)
snomedct,85163001,Russians (ethnic group)
snomedct,19085009,Saipanese (ethnic group)
snomedct,86275006,Samoan (ethnic group)
snomedct,735001008,Scandinavian (ethnic group)
snomedct,9.2541E+13,Scottish - ethnic category 2001 census (finding)
snomedct,48375000,Seminole (ethnic group)
snomedct,3818007,Senegalese (ethnic group)
snomedct,50405005,Senoi (ethnic group)
snomedct,8.8981E+13,Serbian - ethnic category 2001 census (finding)
snomedct,53460002,Serbs (ethnic group)
snomedct,82174001,Shona (ethnic group)
snomedct,22007004,Shoshone (ethnic group)
snomedct,28796001,Siamese (ethnic group)
snomedct,9.4141E+13,Sikh - ethnic category 2001 census (finding)
snomedct,1.10781E+14,Sinhalese - ethnic category 2001 census (finding)
snomedct,7.10021E+14,Slovak 
